"Export from dimension Hierarchy: plan_currency:plan_currency, all elements in index order. Total elements=5"
"plan_currency","plan_currency"
"Sort parameters :","BYNAME","","ASCENDING",""
"Reserved"
"Line_Type","Element","Value_1","Value_2","Value_3"
"A","CurrencyName","AA"
"A","CurrencyName_Brasilian","AA"
"A","CurrencyName_ChineseSimplified","AA"
"A","CurrencyName_ChineseTraditional","AA"
"A","CurrencyName_Croatian","AA"
"A","CurrencyName_Czech","AA"
"A","CurrencyName_Danish","AA"
"A","CurrencyName_English","AA"
"A","CurrencyName_Finnish","AA"
"A","CurrencyName_French","AA"
"A","CurrencyName_German","AA"
"A","CurrencyName_Hungarian","AA"
"A","CurrencyName_Italian","AA"
"A","CurrencyName_Japanese","AA"
"A","CurrencyName_Korean","AA"
"A","CurrencyName_Norwegian","AA"
"A","CurrencyName_Polish","AA"
"A","CurrencyName_Romanian","AA"
"A","CurrencyName_Russian","AA"
"A","CurrencyName_Spanish","AA"
"A","CurrencyName_Swedish","AA"
"A","CurrencyName_Turkish","AA"
"A","Symbol","AS"
"E","AUD","Type-N","Index-1"
"V","AUD","Attr Name-CurrencyName","Attr Value-Australia Dollar"
"V","AUD","Attr Name-CurrencyName_Brasilian","Attr Value-Dólar Australiano"
"V","AUD","Attr Name-CurrencyName_ChineseSimplified","Attr Value-澳元"
"V","AUD","Attr Name-CurrencyName_ChineseTraditional","Attr Value-澳幣"
"V","AUD","Attr Name-CurrencyName_Croatian","Attr Value-Australski dolar"
"V","AUD","Attr Name-CurrencyName_Czech","Attr Value-Australský dolar"
"V","AUD","Attr Name-CurrencyName_Danish","Attr Value-Australske dollar"
"V","AUD","Attr Name-CurrencyName_English","Attr Value-Australia Dollar"
"V","AUD","Attr Name-CurrencyName_Finnish","Attr Value-Australian dollari"
"V","AUD","Attr Name-CurrencyName_French","Attr Value-Dollar Australien"
"V","AUD","Attr Name-CurrencyName_German","Attr Value-Austr. Dollar"
"V","AUD","Attr Name-CurrencyName_Hungarian","Attr Value-Ausztrál dollár"
"V","AUD","Attr Name-CurrencyName_Italian","Attr Value-Dollaro australiano"
"V","AUD","Attr Name-CurrencyName_Japanese","Attr Value-豪ドル"
"V","AUD","Attr Name-CurrencyName_Korean","Attr Value-호주 달러"
"V","AUD","Attr Name-CurrencyName_Norwegian","Attr Value-Australsk dollar"
"V","AUD","Attr Name-CurrencyName_Polish","Attr Value-Dolar australijski"
"V","AUD","Attr Name-CurrencyName_Romanian","Attr Value-Dolar Australia"
"V","AUD","Attr Name-CurrencyName_Russian","Attr Value-Австралийский доллар"
"V","AUD","Attr Name-CurrencyName_Spanish","Attr Value-Dólar australiano"
"V","AUD","Attr Name-CurrencyName_Swedish","Attr Value-Australiska dollar"
"V","AUD","Attr Name-CurrencyName_Turkish","Attr Value-Avustralya Doları"
"V","AUD","Attr Name-Symbol","Attr Value-$"
"E","EUR","Type-N","Index-2"
"V","EUR","Attr Name-CurrencyName","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Brasilian","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_ChineseSimplified","Attr Value-欧元"
"V","EUR","Attr Name-CurrencyName_ChineseTraditional","Attr Value-歐元"
"V","EUR","Attr Name-CurrencyName_Croatian","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Czech","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Danish","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_English","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Finnish","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_French","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_German","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Hungarian","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Italian","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Japanese","Attr Value-ユーロ"
"V","EUR","Attr Name-CurrencyName_Korean","Attr Value-유로"
"V","EUR","Attr Name-CurrencyName_Norwegian","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Polish","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Romanian","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Russian","Attr Value-Евро"
"V","EUR","Attr Name-CurrencyName_Spanish","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Swedish","Attr Value-Euro"
"V","EUR","Attr Name-CurrencyName_Turkish","Attr Value-Avro"
"V","EUR","Attr Name-Symbol","Attr Value-€"
"E","GBP","Type-N","Index-3"
